PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
1031 Hans LLC,John O'Leary Jr Jim Dolan,1031,,N,Cicero,Ave,37,Austin,Northwest Industrial Corridor,8/19/2009,3/15/2010,Industrial,"sprinkler system, electrical, plumbing, tuckpoiting, interior, roof, paving, fence, signage",150000,533355,,,POINT (-87.74591100000002 41.899721)
1375 W Lake St LLC,Brian Elmiger,1375,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,7/30/2010,11/2/2010,Commercial,parking lot,150000,900000,0,35,POINT (-87.661671 41.885482)
1800 W Lake LLC,Chris Bambulas,1800,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,5/24/2010,7/15/2011,Industrial,"Rebuild Roof, Replace Fence, Rehab Floor, Tuckpoint and soda blast building.",47700,95400,,,POINT (-87.671916 41.885207)
"4311 S. Halsted, LLC (Landlord)",Jim Limperis,4311,,S,Halsted,St,11,New City,47th/Halsted,4/17/2017,12/27/2017,Commercial,"façade improvements including removal of the siding, bricks, and storefront system and replacement with new bricks with stone caps, and a new storefront system including new windows and doors (the residential windows were not included in the cost of this project).",87350.63,116467.5,1,0,POINT (-87.645684 41.815699)
Ace Styline Furniture,Ken Kruss,1747,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,,2/27/2007,Industrial,Repair Façade / Remove-replace signage. Re-roof building,50000,115196,,,POINT (-87.671296 41.887753)
AGB Investigative,John Griffin Jr,2033,,W,95th,St,19,Beverly,95th/Western,,3/19/2010,Commercial,signage &amp; awning,1562.5,3500,,,POINT (-87.673709 41.720985)
Albany Park Auto Clinic,Walter Hugh,3848,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,5/3/2007,Commercial,Fencing,9950,19900,,,POINT (-87.725142 41.968301)
All About Dance,Jessica Goldman,501,,W,North,Ave,2,Near North Side,Near North,7/13/2010,3/29/2011,Commercial,complete build-out,150000,239678.97,4,10,POINT (-87.641104 41.91104300000001)
Am Sewing Dynamics,Olga Chitiguel,4534,,W,North,Ave,37,Humboldt Park,Northwest Industrial Corridor,,4/26/2007,Industrial,"roof, façade, parking lot, HVAC, electrical, awning",50000,100000,,,POINT (-87.740215 41.909771)
Allied Metal Co.,Joel Fink,4528,,W,Division,St,37,Humboldt Park,Northwest Industrial Corridor,1/19/2016,10/18/2016,Industrial,demolition of existing roofing; install new metal and wood decking; install new insulation and base sheet; install new roofing membrane and flashings; and remove deteriorated metal panels at “penthouse” roof structure and replace with new metal panels and flashings,150000,444760,3,72,POINT (-87.739388 41.902481)
Ameer General Merchandise #2,Hassan Harb (Roberto),3443,,W,Lawrence,Ave,33,Albany Park,Lawrence/Kedzie,,5/24/2006,Commercial,HVAC,16250,32500,,,POINT (-87.71506 41.968386)
"Beechtree, Inc. dba All Day Montessori",Quinn McAvoy,1819,,W,99th,St,19,Beverly,Western/Rock Island,2/13/2013,3/28/2014,Commercial,"roofing, gutters, skylights, masonry repairs, windows/storefront renovations, plumbing, bathrooms, electrical, drywall, painting, parking lot improvements, wrought iron fence repair",100000,157159,4,15,POINT (-87.668086 41.71388)
Bearse Manufacturing Inc,Thomas Auer,3815,,W,Cortland,St,26,Logan Square,Pulaski Corridor,6/25/2009,6/19/2010,Industrial,"shipping dock area; concrete, new ramps, raise height of door, electrical",15262.5,30752,,,POINT (-87.722412 41.915404)
"Blue Island Wholesale Produce, Inc.",Daniel Suarez,2320,,S,Blue Island,Ave,25,Lower West Side,Pilsen Industrial Corridor,3/20/2018,2/27/2019,Industrial,"façade improvements including demolish existing masonry façade and rebuild new façade per plans including replacements of iron supports, limestone sills, new face brick, create opening for new glass block windows, replace existing glass block windows, repair parapet walls as needed, and permit fees",92400,184800,4,12,POINT (-87.671856 41.850056)
Bright Star Management,Peter Miller,1143,,W,Rundell,Pl,25,Near West Side,Central West,8/5/2011,10/25/2012,Industrial,"replacement of freight elevator with passenger elevator, electrical work",134702.2,191994.15,0,8,POINT (-87.656191 41.881157)
Bubbly Dynamics LLC,John Edel.,1048,,W,37th,St,3,Bridgeport,35th/Halsted,,7/24/2008,Landlord,"Greenhouse roof, porch, handrails, sunshades, green facades, floors, windows, front entrance",45000,92400,,,POINT (-87.652703 41.827004)
Cedars Mediterranean Kitchen LLC,Sudki Abdullah,1206,,E,53rd,St,4,Hyde Park,53rd Street,,10/29/2012,Commercial,,89945.63,123805.8,2,23,POINT (-87.596317 41.799486)
Casper Inc. dba Retro Cafe and Restaurant,Matthew Gancarz,3246,3248,N,Central,Ave,30,Portage Park,Belmont/Central,9/28/2017,9/21/2018,Commercial,"façade renovations including removal of existing awning system and storefront window frames; installation of new garage style roll-up windows; masonry repairs and tuck-pointing, installation of new front entry doors, carpentry work on the interior related to the facade improvements and general contractor fees.  Address range is 3246-8 N. Central Ave.",28814.29,48500,6,4,POINT (-87.766565 41.93989)
Chromium Industries Inc,Lorraine Heindengren,4645,,W,Chicago,Ave,28,Austin,Northwest Industrial Corridor,,10/7/2008,Industrial,roofing,50000,105550,,,POINT (-87.742632 41.895013000000006)
"Conecta Group, Inc.",Hector Castillo,2450,,W,Division,St,26,West Town,Humboldt Park,1/9/2013,12/19/2013,Commercial,"plumbing including relocation of bathroom, electrical and light fixtures, mechanical/ventilation work, new framing and carpentry work, drywall and insulation, flooring and tiling, doors and interior glass partitions, ceiling tiles, new walls, painting and finishing, and soft costs including architectural fees,",96775.16,129033.55,1,3,POINT (-87.688587 41.903023)
Demera Ethiopian Restaurant,Tigist Reda,4801,,N,Broadway,Ave,46,Uptown,Lawrence/Broadway,10/2/2018,12/10/2019,Retail,HVAC system improvements (remove and replace two furnaces; remove and replace two RTU condensers; furnish and install make-up air unit and ventilation hood); pour new concrete at entry; replace three storefront bottom panels.,50000,66720,2,27,POINT (-87.65967 41.969052)
Division St Business Development Association,Eduardo Arocho,2459,,W,Division,St,26,West Town,Humboldt Park,6/18/2011,8/14/2013,Commercial,", roofing, skylights, gutters, masonry, tuck-pointing, water-proofing all brick area, acid wash, and a solar photovoltaic system",100000,160950,0,1,POINT (-87.688825 41.90302)
Doris Photo Studio,Doris Jimenez,3221,,W,North,Ave,26,Humboldt Park,Humboldt Park,,4/26/2007,Commercial,"Storefront, Masonry, Signage, Awning",43439.99,106651.07,,,POINT (-87.7079 41.910067)
Ed Spiwak,Ed Spiwak,3953,,W,Roosevelt,Rd,24,North Lawndale,Midwest,,10/14/2005,Landlord,"Roof, Office build-out, doorways, backporches",50000,103000,,,POINT (-87.724694 41.866185)
DSBDA Enrique Salgado,DSBDA Enrique Salgado,2649,,W,Division,St,26,West Town,Humboldt Park,,7/27/2007,Commercial,Complete Build-out,50000,100000,,,POINT (-87.693152 41.902976)
Fashion Corner,Nasser Diab,1658,,E,87th,St,8,Avalon Park,Stony Island/Burnside,,2/16/2007,Landlord,"Replacement and/or repair of roof, HVAC",37516.25,75032.5,,,POINT (-87.582907 41.736948)
Franconello Restaurant,Frank Ruffolo,10222,,S,Western,Ave,19,Beverly,Western/Rock Island,8/9/2012,7/23/2013,Commercial,carpentry and electrical work,100000,133977.28,0,13,POINT (-87.681682 41.707741)
Franklin Williams Enterprises Inc,Franklin Williams,3716,,W,Chicago,Ave,27,Humboldt Park,Chicago Central Park,2/19/2011,2/14/2012,Commercial,"structure, drywall, paitning, plumbing, hvac, electrical,,",107250,143311,,,POINT (-87.719343 41.895465)
Gabriela Mendoza,Gabriela Mendoza,3701,,S,Halsted,St,11,Bridgeport,35th/Halsted,,2/27/2009,Landlord,"Windows, Masonry, roof, façade",33265.5,44354,,,POINT (-87.646017 41.827046)
Illinois Engraving & Manufacturing Co.,Wayne Tumminello,4530,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,10/2/2013,8/29/2014,Industrial,new storefront windows and frames,4625.5,9600,0,6,POINT (-87.674567 41.964019)
Ivory Cleaners,Song Kyun Kim,3857,,W,Roosevelt,Rd,24,North Lawndale,Midwest,,8/22/2008,Commercial,"Electrical, tuckpointing, shutters, sign, ceiling",6440,12880,,,POINT (-87.722267 41.866217)
Joann Ruiz,Joann Ruiz,5637,,N,Lincoln,Ave,40,West Ridge,Lincoln Avenue,12/11/2010,10/6/2011,Commercial,Complete rehab,150000,219500,5,,POINT (-87.696427 41.983947)
Laminet Cover Co.,Michael F. Lieber,4900,,W,Bloomingdale,Ave,37,Austin,Galewood/Armitage,4/11/2017,9/26/2017,Industrial,"tear off and replacement of two roof sections including removal of existing metal cyclone and dead penetrations, repairs to decking as needed, new plywood sheathing, new insulation, new 60 mil white TPO membrane roofing system, new flashings, replacement of coping tiles with metal edges, and replacement of old drain system",31500,63000,2,13,POINT (-87.74962 41.913235)
Landlord,Carmen Martinez,2733,,W,Division,St,26,West Town,Humboldt Park,,8/24/2007,Commercial,"Ceiling, façade, storefront,",38617.3,77234.6,,,POINT (-87.695477 41.902957)
Law Offices of Cindy Huang,Cindy Huang,6623,,N,Clark,St,40,Rogers Park,Clark/Ridge,11/13/2008,3/24/2010,Commercial,"office buildout, roof, signage, floors, bathroom, windows, doors, HVAC, porch",71598.75,95465,,,POINT (-87.672055 42.002253)
Lawrence Dental Group PC,George Korovilas,3607,,W,Lawrence,Ave,35,Albany Park,Lawrence/Kedzie,,3/29/2011,Commercial,"Interior Renovation, floors, doors, walls, ceiling, counters",97897.17,177994.85,,,POINT (-87.718431 41.968348)
"Lickity Split FC&S2, LLC dba Lickity Split Frozen Custard",Ken Anderson,7000,,N,Western,Ave,50,West Ridge,Touhy/Western,4/2/2014,4/30/2015,Commercial,"carpentry work, new doors, replacement of storefront glass, remove old signage and install new awning, cabinetry, countertops, new drywall, flooring, tile, installation of plumbing and electrical fixtures, new ductwork, kitchen exhaust hood, painting and finishing",22000,59031.65,15,0,POINT (-87.690245 42.008887)
Lincoln Square Athletic Club LLC,Patrick Cunningham,4662,,N,Lincoln,Ave,47,Lincoln Square,Western Avenue (North),4/28/2010,9/9/2011,Commercial,"Complete Renovation, Complete Renovation",150000,1294560.46,,,POINT (-87.687107 41.966469)
"Little Goat, LLC",Robert Katz,818,822,W,Randolph,St,27,Near West Side,Near West,4/3/2012,2/21/2013,Commercial,Address range is 818-22 W. Randolph St.,150000,1330237,140,0,POINT (-87.648144 41.884527)
LP's Wash-O-Matic,Lalita Fields,8923,,S,Cottage Grove,Ave,6,Chatham,87th/Cottage Grove,5/8/2009,7/9/2010,Commercial,"plumbing, electrical, concrete work, carpentry, install washers, Plumbing",49407.6,66663,,,POINT (-87.604629 41.731924)
"M & M Box Partition Co., Inc.",Joseph Mariella,4141,,W,Grand,Ave,26,Humboldt Park,Pulaski Corridor,11/15/2013,10/22/2014,Industrial,"tuckpointing and masonry repairs to north elevation including caulking above window ledges and above capstone joints, parapet wall repairs, and installation of an 8” wrought iron fence and sliding gate system replacing a chain link system",26668,53336,1,28,POINT (-87.730515 41.907822)
M Henry Bistro,Michel Moorman,1133,,W,Granville,Ave,48,Edgewater,Hollywood/Sheridan,4/7/2010,10/28/2010,Commercial,"restaurant build-out, façade, signage, landscaping outdoor diner.",149991,299982.86,23,28,POINT (-87.659684 41.994567)
Lysinski Ltd -Dental,Maria Lysinska,4418,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,6/30/2009,3/29/2011,Commercial,Interior Renovations,53350,106700,,,POINT (-87.754942 41.961221)
Madison Pine Dental Clinic,James Poulos,5470,,W,Madison,St,29,Austin,Madison/Austin,,8/18/2004,Commercial,"Façade, flooring, renovations",10826.22,21652.44,,,POINT (-87.762752 41.880333)
Marv-o-lus Mfg Co,Michael Glassenberg,220,,N,Washtenaw,Ave,27,East Garfield Park,Kinzie Industrial Corridor,,12/1/2005,Industrial,"Roof, Masonry repairs, structural repair",50000,122000,,,POINT (-87.693944 41.885034)
Midway Cap Merle Sbertoli,David Lajb,4513,,W,Armitage,Ave,31,Hermosa,Northwest Industrial Corridor,,12/11/2009,Industrial,"windows, lintels, flashing",20781,41562,,,POINT (-87.739486 41.917029)
"Mob Town, Inc.",Mark Thomas,2620,,W,Fletcher,St,33,Avondale,Addison Corridor (South),5/5/2012,7/17/2013,Commercial,", , electrical, lighting, painting, permit expenses",88757.81,118343.75,1,2,POINT (-87.693931 41.938562)
Myong Yul Kim,Myong Yul Kim,3544,,W,Lawrence,Ave,39,Albany Park,Lawrence/Kedzie,,8/21/2006,Landlord,"Roof, Basement, Windows",44980,122800,,,POINT (-87.717647 41.968354)
"O'Brien Metal, Inc.",John O'Brien,1442,,W,Willow,St,2,West Town,North Branch (South),10/13/2015,7/1/2016,Industrial,"install a fume exhaust system including filter bays along the back walls, a 3-port duct manifold connection on each bay, ductwork connecting to mounted roof fan, and all necessary electrical connections and improvements",37950,75900,4,8,POINT (-87.663763 41.914028)
Pancakes Crepes Amour,Rory C Trotter,9031,,S,Stony Island,Ave,8,Calumet Heights,Stony Island/Burnside,12/16/2011,6/11/2012,Commercial,Complete Renovation,22446.61,44893.22,53,7,POINT (-87.585063 41.730287)
"Resource Point of Sale, LLC",Austin Chavez,1765,,N,Elston,Ave,2,West Town,North Branch (South),4/11/2012,8/21/2012,Industrial,,150000,316852,10,34,POINT (-87.664803 41.914358)
Robin's Food Distribution,Robin Wold,1200,,W,Randolph,St,27,Near West Side,Kinzie Industrial Corridor,,4/5/2010,Industrial,"HVAC roof compressors and vent repair, façade tuckpointing- repair, roof repair, roof, façade, freezer floor, ceiling and partial wall OR demolition of building and construct parking lot, roof, façade, freezer floor, ceiling and partial wall OR demolition of building and construct parking lot",97533.32,201855.63,,,POINT (-87.65688800000001 41.884369)
Spoil Me Hair Salon,Adel Shaw,4668,,N,Broadway,St,46,Uptown,Wilson Yard,11/29/2011,1/15/2013,Commercial,,57383.32,76511.09,6,0,POINT (-87.658483 41.966984)
Strip Wax Bar,Tora M. Pointdexter,1014,,W,Monroe,St,25,Near West Side,Near West,6/18/2012,12/20/2012,Commercial,,47868.75,63825,4,4,POINT (-87.652618 41.880424)
Than Tai Investments LLC,Trung Duong,11316,11320,S,Michigan,Ave,9,Roseland,Roseland/Michigan,2/15/2010,6/2/2011,Commercial,"tuckpointing, windows, roof, HVAC, structure repair and replacement; address range is 11316-11320 S Michigan Ave.",152750,237500,,,POINT (-87.621024 41.688374)
The Ecumenical Institute,Terry Dean Bergdall,4750,,N,Sheridan,Rd,46,Uptown,Lawrence/Broadway,3/6/2011,3/9/2012,Commercial,"Windows, façade, doors,",106847.5,213695,34,,POINT (-87.654838 41.968518)
The Icon Group Inc,Bruce Macgilpin,2747,,W,Taylor,St,28,North Lawndale,Western/Ogden,11/9/2011,12/14/2012,Industrial,"Parking lot, HVAC, signage, fence",145358.55,290717.1,6,6,POINT (-87.695041 41.869265)
The Preston Bradley Center,Robert Ford,941,,W,Lawrence,Ave,46,Uptown,Lawrence/Broadway,2/21/2012,2/22/2013,Commercial,,131625,175500,3,10,POINT (-87.653901 41.969077)
"The Gleason Law Group, P.C.",Judith Gleason,4653,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,6/23/2015,5/11/2016,Commercial,"demolish existing aluminum siding; furnish and install new siding including trims, flashings, soffits; repair water damage to ceilings and walls and painting",15562.5,20750,0,3,POINT (-87.75835200000002 41.965149)
TNT Vending,Ed Trlak,3120,,W,111th,St,19,Mount Greenwood,111th/Kedzie,,10/7/2004,Commercial,Complete Renovation,35355.28,53395,,,POINT (-87.699255 41.691579)
Turn Back the Hands of Time Antiques,James Bowers,5940,5942,W,Chicago,Ave,29,Austin,Austin Commercial,5/27/2016,1/11/2018,Commercial,"masonry façade renovations including removal of bricks over storefront, at knee wall, and removal of lintels; installation of limestone panels, limestone sills, new lintels, and new brick; parapet wall repairs and tuck-pointing work and sandblasting of interior brick; installation of new storefront system with insulated glass windows and doors and bronze thermal metal framing; installation of 92 sq. yards of underlayment and carpeting; flooring and ceiling tile materials.  Address range is 5940-42 W. Chicago Ave.",58901.8,78535.73,2,0,POINT (-87.773838 41.894752)
Vincent Gerage,Vincent Gerage,5050,,W,Irving Park,Rd,45,Portage Park,Portage Park,,2/15/2006,Commercial,"Roof, parapet",11805.75,18836,,,POINT (-87.75382 41.953354)
"Precious Little Ones Learning Center, Inc.",Nicole Jones-Morris,221,,E,51st,St,3,Washington Park,47th/State,12/3/2019,4/7/2020,General Commercial,"Double pane glass, remove and replace kitchen floors, new kitchen cabinets, plumbing fixtures, drop ceiling, cement, and booster fan.",16720,25497,5,8,POINT (-87.620127 41.802073)
Indie Café,"Garakot Prasartkul (""Gui"")",5951,,N,Broadway,St,48,Edgewater,Hollywood/Sheridan,4/16/2019,5/5/2020,Retail,"removal and replacement of entry door concrete slab; renovations to three (3) restrooms including plumbing work, new doors, new flooring and finishes.",7617.25,10156.33,5,13,POINT (-87.660281 41.99054400000001)
"Wingz around the World, Corp. dba Bronzeville Wings",Nichole Jackson,4300,,S,Michigan,Ave,3,Grand Boulevard,47th/King,4/7/2020,10/25/2020,General Commercial,"Electrical signage, awning, windows, steel security doors, and tuck-pointing.",7875,10500,5,5,POINT (-87.622991 41.816343)
"Constellation Arts LLC & At Pluto, Ltd",Mike Reed,3111,,N,Western,Ave,32,North Center,Addison Corridor (South),12/11/2019,12/10/2020,General Commercial,"includes: masonry improvements (rebuild east elevation parapet wall, replace lintels, and tuckpointing)",12577.5,16770,4,5,POINT (-87.68798 41.93794700000001)
"Marina Cartage, Inc.",Michael Tadin,4450,,S,Morgan,St,11,New City,Stockyards Southeast Quadrant,9/3/2019,12/17/2020,General Commercial,"a lighting retrofit including removal and recycling of existing light fixtures and installation of new LED fixtures throughout facility including all associated wiring and electrical work, furnish and install eleven (11) overhead insulated doors with associated hardware and heavy-duty operators.",110802,221604,9,2,POINT (-87.650516 41.813818)
The Stutz Co.,James Stutz,4450,,W,Carroll,Ave,28,West Garfield Park,Northwest Industrial Corridor,7/9/2019,12/10/2019,General Industrial,"HVAC improvements including installation of an air conditioning unit with the associated ductwork and connections; roofing replacement along the northside of the building including skylight repairs, new flashings and the application of modified membrane.",26948,53896,2,16,POINT (-87.737435 41.886858)
"Caseline, Inc.",Hassan Yamin,1900,,S,Western,Ave,28,Lower West Side,Western/Ogden,9/3/2019,9/7/2021,Manufacturing,"elevator modernization, window and door replacement, HVAC, masonry repair, floor repair and resurfacing, metal deck replacement",150000,352881.04,0,4,POINT (-87.685815 41.855675000000005)
Half Italian Grocer LLC,Nancy Kamp,2643,,N,Milwaukee,Ave,35,Logan Square,Fullerton/Milwaukee,8/25/2011,5/7/2012,Commercial,"storefront, windows, doors, awnings, hvac, water service, electrical, bathroom, hood, stove,",132361.69,176482.25,27,,POINT (-87.708679 41.929842)
See Spot Run Kennel Inc,Ruth Crisler,2756,,W,Fulton,St,27,East Garfield Park,Kinzie Industrial Corridor,12/1/2010,8/5/2013,Commercial,"parking lot, windows, brickwork, security, lighting, HVAC, wrought iron fence, HVAC system, windows, and signage",81908.26,109210.31,2,6,POINT (-87.695772 41.886542)
Wilson Property Management,Andres Schcolnik,6550,,S,Cottage Grove,Ave,20,Woodlawn,Woodlawn,5/18/2011,9/7/2012,Commercial,"Expansion to lower level,hvac, bathroom, electrical, tuckpointing, roofing,",117072.04,156096.05,6,,POINT (-87.605818 41.775178)
"Kappa Vis, Inc. dba Bake for Me",Joseph Kapacinskas,4305,,S,Halsted,St,11,New City,47th/Halsted,3/15/2016,4/24/2017,Commercial,"demolish concrete in basement floor; furnish and install a new 6"" plumbing cleanout port; furnish and install a new ""p-trap"" for the condensate line; replace concrete upon completion of plumbing improvements",1241.25,4965,0,0,POINT (-87.645687 41.815837)
"Shoe Stop 92, Inc.",Kyoung Kim,4717,,S,Ashland,Ave,20,New City,47th/Ashland,10/6/2015,8/31/2016,Commercial,"roof patching at section of roof associated with HVAC improvements; additional roofing repairs (caulking, new silver coating, drains, termination bars) for flat roof at 2nd floor; tuck point the alley-side and façade elevations of building and repairs to existing clay copings and flashings as needed; upgrade electrical system to 3-phase 400 amp service and install new conduit and new wall outlets, emergency lights, exit signs, and wiring as needed; furnish and install two (2)  HVAC furnace units; furnish and install a new drop ceiling at 2nd floor office space; install new outlets and switches at 2nd floor office space and incidental wall repairs, patching, and painting; and furnish and install new 2nd floor fluorescent light fixtures",100000,140700,0,3,POINT (-87.664858 41.807936)
Case Paper Company,Robert Stec,900,,W,45th,St,11,New City,Stockyards Southeast Quadrant,11/12/2019,1/23/2021,Manufacturing,"furnish and install nine (9) commercial steel doors with associated framing and hardware; concrete excavation and installation of footings, foundation, concrete slab and concrete finishes; masonry work, structural steel, insulated metal panels and doors, roofing work, doors and frames, drywall, overhead doors, painting, fire protection, building system upgrades (HVAC, electrical and plumbing system upgrades); architectural and permit fees",40271.59,80543.18,2,71,POINT (-87.6474 41.812512)
"Stellar Recognition, Inc. dba Sports Awards, Inc.",Roy Newton,5544,,W,Armstrong,Ave,39,Jefferson Park,Elston/Armstrong,6/19/2012,1/22/2013,Industrial,"roofing, chimney restoration, masonry and roofing work, removal of old and installation of new HVAC rooftop unit",43925.5,87851,0,0,POINT (-87.766136 41.984407)
Great Chicago Food & Beverage,Payam Bereliani,3149,,W,Devon,Ave,50,West Ridge,Devon/Western,10/23/2010,9/22/2011,Commercial,"doors and windows, ,",84000,127100,2,,POINT (-87.708958 41.997393)
"Midway Pro Auto, Inc.",Michael Apke,4823,,W,63rd,St,13,Clearing,Archer/Central,3/17/2015,2/2/2017,Commercial,"demolish existing 12’ x 10’ garage door and replace with a new garage door; remove and replace two (2) furnaces with associated control system items, furnish and install one (1) new high efficiency boiler with damper and control system; installation of one (1) commercial garage door opener with a three button station attachment; installation of three (3) new windows including creating three (3) openings along the cinderblock wall, installation of new steel lintels, flashings, and limestone sills, and installation of 2x4 ½ aluminum framing systems; and architectural services, furnish and installed aluminum panels for exterior façade improvements including associated framing and steel expenses; and installation of new lighting fixtures along the north and south wall of the facility with necessary electrical work",78941.8,105255.73,2,2,POINT (-87.743333 41.778343)
"CJK Foods, LLC dba Kitchfix",Joshua Katt,1731,,W,Grand,Ave,27,West Town,Kinzie Industrial Corridor,8/1/2017,1/29/2018,Commercial,"furnish and install an approx. 2,700 cubic foot walk-in cooler system (walls, ceilings, doors, lights, ventilation/refrigeration, electrical)",44850,59800,10,55,POINT (-87.670771 41.890947)
Some Like It Black Creative Arts Bar,Kelly Richardson,4259,,S,Cottage Grove,Ave,4,Oakland,43rd/Cottage Grove,2/2/2016,1/5/2017,Commercial,"one (1) double projecting aluminum sign frame (business specific signage expenses not included/eligible); installation of a new aluminum storefront framing system including two (2) bi-folding windows, storefront door, hardware, and finishes; rough and finish plumbing work for the restroom including underground piping, water lines, and fixtures; and architectural services",19725,26300,1,2,POINT (-87.60671000000002 41.817539)
Aqua World USA Inc,Soo Young Lee,5419,,N,Lincoln,Ave,40,Lincoln Square,Lincoln Avenue,,4/21/2008,Commercial,"Store fronts, signs, parking lot paved, roof, windows, doors, bathrooms, electrical, HVAC, Drop ceilings",50000,99800,,,POINT (-87.692741 41.979896)
Potomac Cleaners,Sun Kyeng Kim,1300,,N,Western,Ave,26,West Town,Humboldt Park,6/27/2012,6/18/2013,Commercial,"storefront renovations including windows, doors, carpentry and framing, tuckpointing and masonry work, and plumbing",100000,152005,0,2,POINT (-87.687132 41.905011)
Phoenix Bean LLC,Jenny Yang,5438,,N,Broadway,St,48,Edgewater,Bryn Mawr Broadway,6/13/2012,10/3/2013,Industrial,"new roofing to include a complete tear-off, replace decking as needed, new flashings, remove skylights, apply a reflective aluminum coating, storefront renovation, and masonry. The project will also include interior renovations including framing, walls, doors, stainless steel/FRP wall coverings, HVAC system, partial plumbing, partial electrical, concrete flooring, and painting, walls, doors, bathroom, finish plumbing, finish electrical, and concrete flooring",69300,154450,1,10,POINT (-87.660044 41.981057)
"Jeff's Drive-In, Inc. dba Jeff's Red Hots",Steven Vrettos,3901,,N,Cicero,Ave,45,Portage Park,Portage Park,2/20/2018,11/29/2018,Commercial,"remove existing RTU, replace with a new 10-ton HVAC RTU, and connect to existing duct work; remove and replace the storefront system (frames, glass, and door)",32212.5,42950,2,3,POINT (-87.747187 41.951648)
American Soda Fountain Inc,Terry Schy,455,,N,Oakley,Blvd,27,West Town,Kinzie Industrial Corridor,,1/28/2009,Industrial,Plumbing &amp; Signage,957,2090,,,POINT (-87.684228 41.890148)
The Roscoe Company,James W. Buik,3535,,W,Harrison,St,24,East Garfield Park,Midwest,4/16/2019,3/19/2020,General Industrial,"demolish existing electrical service panels and furnish and install new 1,200 amp, 240 volt service including new panels, transformer, and generator and associated electrical engineering expenses; furnish and install new electronic door access system and burglar alarm sensors. ; remove and replace rear overhead rolling door and double door; repair existing roof at southern portion of facility (demolition; furnish and install approx. 45 SF of new decking; new base layer; coping repairs); roofing system tear-off and replacement at garage (demolition; furnish and install new modified bitumen roofing system including insulation, base sheet, new membrane, and flashings); furnish and install new ductless HVAC system for IT room; ceiling repair (and replace tiles as necessary) in restrooms, plant office, conference room, and hallway areas; furnish and install two (2) new LED light fixtures; and permit fees",145022.23,298290.46,0,65,POINT (-87.714138 41.873595)
VZN Eyecare,Vlada Nakhlis,6814,,N,Sheridan,Rd,49,Rogers Park,Devon/Sheridan,5/21/2014,9/11/2014,Commercial,"Walls, floor, ceiling, HVAC, electrical, plumbing, doors, bathroom tile, cabinetry, glass wall and painting.",35000,62000,8,6,POINT (-87.661035 42.006041)
"OM Fine Linen, Inc. DBA Down Under",Rajeev Agarwal,2554,,W,Lawrence,Ave,40,Lincoln Square,Western Avenue (North),10/17/2013,6/6/2014,Commercial,"exterior renovations including masonry repairs (lintels) and tuckpointing, installation of a new aluminum storefront system with glass windows and doors; and interior renovations including concrete work, rough electrical, plumbing and HVAC ductwork, rough carpentry and framing, architectural fees and City of Chicago building permit fees, finishing of storefront installation, rough and finish carpentry including insulation, flooring, roofing, rough and finish electrical, plumbing, and HVAC systems and fixtures, painting and finishing work",100000,147651.3,1,1,POINT (-87.693602 41.96861)
Chii Clothing Company dba Culture Studio,Rich Santo,1151,,W,40th,St,11,New City,Stockyards Annex,9/1/2015,1/11/2016,Industrial,"electrical work required for new equipment including installation of a 400 AMP circuit breaker panel, a three (3) phase transformer, new wiring, conduit, and drop cords for equipment",13990,31680,5,65,POINT (-87.65502500000001 41.821097)
"Casa Blanca Realty, LLC dba Remax Casa Blanca Realty",Valerio Augusto Norena,5128,,W,Belmont,Ave,31,Portage Park,Belmont/Central,9/17/2019,5/7/2021,General Commercial,"HVAC improvements, electrical work, flooring, paint, kitchen bath, garage, patio concrete.",19500,44500,20,4,POINT (-87.755526 41.938741)
REB Steel Equipment Corporation,Thomas Lesko,4556,,W,Grand,Ave,36,Humboldt Park,Northwest Industrial Corridor,8/12/2010,2/8/2012,Industrial,"lighting retrofit, roofing, tuckpointing, wall repairs, buildout, lighting retrofit,,",145738.6,291477.2,,,POINT (-87.740153 41.911627)
Kyu Ok Yo,Kyu Ok Yo,4821,,N,Pulaski,Rd,39,Albany Park,Lawrence/Pulaski,,5/30/2009,Landlord,Fence,990,1800,,,POINT (-87.728031 41.968859)
