PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
The Windsor Tavern,Michael Spina,4530,,N,Milwaukee,Ave,45,Portage Park,Jefferson Park,,1/28/2008,Commercial,basement floor,16267.5,32535,,,POINT (-87.75661800000002 41.963178)
Busy Beaver Button Company,Christen Carter,3279,,W,Armitage,Ave,26,Logan Square,Fullerton/Milwaukee,1/19/2012,4/2/2013,Commercial,", rough and finish carpentry, electrical, insulation, drywall, painting, flooring, plumbing and fixtures, masonry repairs, landscaping, photovoltaic solar electrical system, and locksmith work",135611.58,181214.61,3,3,POINT (-87.710031 41.917366)
4545 W Armitage Inc dba A&D Candy,Saleh Musa,4545,,W,Armitage,Ave,31,Hermosa,Northwest Industrial Corridor,,6/24/2009,Industrial,Purchase Adjacent land,150000,370000,,,POINT (-87.740534 41.917012)
"D&Z House of Books, Inc.",Dorota Kruczalak,5507,,W,Belmont,Ave,31,Belmont Cragin,Belmont/Central,3/28/2017,2/20/2018,Commercial,"replace existing siding on mansard-style roof system on front elevation with new stone veneer, replace brick at bottom of windows with tile to match existing  columns, and new flashing and copings on top wall, and install HVAC rooftop units (furnish and install one (1) 4-ton unit and one (1) 5-ton unit, piping, and wiring).",54862.5,74029,0,3,POINT (-87.764378 41.938604)
Gus Berthold Electric Co,Roderick Berthold,1900,,W,Carroll,Ave,27,Near West Side,Kinzie Industrial Corridor,,2/12/2009,Industrial,Concrete work,4020,8040,0,8,POINT (-87.674856 41.887706)
Sun Hee Lim,Sun Hee Lim,5668,,N,Clark,St,40,Edgewater,Clark/Ridge,,11/24/2009,Landlord,roof,8499.9,81391.38,,,POINT (-87.669185 41.985356)
"Airam IL, Inc. / Sabor a Mi, Inc. dba Nana",Omar Solis,3267,,S,Halsted,St,11,Bridgeport,35th/Halsted,1/21/2015,5/13/2016,Commercial,"remove glass block windows from corridor walls and fill in with brick; masonry work to construct three (3) (of four (4) total) new openings in masonry wall; tuck point north elevation wall; install two (2) new floor drains and a new grease trap; replace ceiling joist; remove and replace basement staircase; install new electrical outlets; and architectural and permit expenses, replace gutters and redirect water spouts; frame out and drywall new corridor; install new rear metal exit door; install new fire and sound insulation between ceiling joists and wall in corridor and dishroom; plumbing to install floor drainage; balance of masonry expenses in connection with construct four (4) new openings in masonry wall subproject; and install new flooring in corridor",90420,139148,5,0,POINT (-87.646186 41.834672)
Cook Au Vin Inc,Vincent Copomber,2569,,N,Milwaukee,Ave,32,Logan Square,Fullerton/Milwaukee,6/10/2010,1/6/2011,Commercial,"inerior renovations, bathroom, electrical, countertop, floor",30970.5,46735.5,,,POINT (-87.705381 41.927843)
Pasteur of Chicago,Kim Nguyen,5523,,N,Broadway,St,48,Edgewater,Bryn Mawr Broadway,9/22/2011,3/16/2012,Commercial,Complete rehab,150000,213116,20,20,POINT (-87.659996 41.982569)
Tom Sadowski & Paul Brunner,Tom Sadowski & Paul Brunner,11813,,S,Michigan,Ave,9,West Pullman,Roseland/Michigan,,2/20/2009,Landlord,"Stroefront, HVAC, Doors, floors, security bars?",14208.24,28416.47,,,POINT (-87.62057 41.679373)
"1st Impressions Beauty Salon, Inc.",Yatta Sherif,4556,,N,Broadway,St,46,Uptown,Wilson Yard,11/8/2016,4/26/2018,Commercial,"update furnace and A/C unit in furnace room; install new hot water tank; update electrical system (electrical components for new lighting and install new outlets); update plumbing by replacing pipes; and interior remodeling work including subfloor repairs and installation of new porcelain and ceramic tile, demolition of non-load bearing partition walls, frame out and build new client waiting area,  renovate restroom, furnace room, and break room including new drywall, plaster and paint as needed, and finishing work; permit fees",23325,31100,3,3,POINT (-87.656969 41.96463500000001)
"V.W. Broaching Service, Inc.",Steven Hanna,3250,,W,Lake,St,28,East Garfield Park,Chicago Central Park,9/12/2019,10/29/2020,Manufacturing,"masonry repairs at south elevation (demolition; furnish and install new lintels; rebuild parapet, install new flashings, and reset coping tiles; tuck pointing; install roof joist support and new I-beam, rebuild masonry column); masonry repairs at north elevation (demolition; rebuild exterior brick wythe and install new flashings; reset coping tiles); demolish existing interior block wall at west elevation and rebuild with CMUs and a new lintel; roofing repairs (furnish and install new base sheet, bitumen membrane, and flashings).",150000,300351,3,17,POINT (-87.707271 41.884485)
"Del-Kar Pharmacy, Inc.",Edwin Muldrow,3714,,W,16th,St,24,North Lawndale,Midwest,,8/25/2009,Commercial,Roof,10050,20100,,,POINT (-87.718517 41.858956)
Concept Laboratories,Stephen Sands,1400,,W,Wabansia,Ave,2,West Town,North Branch (South),3/24/2010,1/7/2011,Industrial,"Paving, electical, interior renovations, lighting, lighting, HVAC, drop ceiling, flooring, façade, security, electrical, lighting, HVAC, drop ceiling, flooring, façade, security, electrical",57000,125571.56,,,POINT (-87.662816 41.91352)
Accurate Real Estate Appraisals Group Ltd,Diane Howard,512,514,E,47th,St,3,Grand Boulevard,47th/King,8/20/2012,9/18/2013,Commercial,"roofing work, parapet wall repairs, roof decking and joists replacements, plumbing work and fixtures, flooring and tiling, cabinetry, HVAC, electrical work and architectural soft costs.  Address range is 512-14 E. 47th St.",150000,207600,4,5,POINT (-87.613135 41.809468)
Forest Glen Animal Hospital,Andrew Orals,5324,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,1/26/2011,7/5/2011,Commercial,"roof, fence",15878.25,21171,0,,POINT (-87.75598 41.977838)
"Kurtzon Lighting, Inc.",Andrew Koch,1420,,S,Talman,Ave,28,North Lawndale,Midwest,2/11/2020,3/24/2021,Manufacturing,"Replace approximately fifty (50) windows; entryway improvements including: the installation of new vestibule system, new entrance door, buildout of partition wall, install tile on partition walls",38102.5,54970,0,22,POINT (-87.692025 41.862107)
"Chicago Auto Recon, Inc. / 1358 W. Cermak, LLC",Anthony Vula,1358,,W,Cermak,Rd,25,Lower West Side,Pilsen Industrial Corridor,5/9/2016,1/20/2017,Industrial,"roofing repairs including installing new plywood sheathing, new rubber membrane, silver coating to seal, and parapet wall repairs; painting of exterior façade including repairs and smoothing as needed (labor only, paint provided by ); renovations to the administrative offices, employee break room, and employee restrooms including demolition work, install new drywall, level floors and install new flooring (commercial grade tile and hard wood), install plumbing fixtures, install new doors (including five (5) fire rated metal doors), install new drop ceilings,  painting and finishing; and install security camera system (hardwiring and cameras only – networking and DVR systems ineligible)",100000,150904.48,7,8,POINT (-87.660046 41.852499)
Rockwell LLC DBA Mysore Woodlands,Raja Ramesh Babu,2548,,W,Devon,Ave,50,West Ridge,Devon/Western,7/17/2011,8/10/2012,Commercial,"Store Front, kitchen, signage, bar area, hood, energy efficient hvac, mop sink",150000,218600,10,10,POINT (-87.694298 41.997648)
Sook In Kim,Sook In Kim,3647,3657,W,Lawrence,Ave,35,Albany Park,Lawrence/Kedzie,5/26/2010,5/5/2011,Commercial,"parking lot, fence, stairs, storefront, masonry, tuckpointing, gutters, windows, doors, signs, HVAC; 3647-3657 W Lawrence Ave.",107272.5,143030,,,POINT (-87.720149 41.968347)
Scott Conway,Scott Conway,2745,,W,Armitage,Ave,1,Logan Square,Fullerton/Milwaukee,8/31/2014,8/28/2015,Commercial,"power washing, grinding, and tuck pointing of north façade elevation; remove and replace window lintels; install limestone above 2nd floor window lintel; caulk exterior, install HVAC condenser and AC unit for commercial space and electrical work associated with HVAC improvements",13856.25,18475,0,3,POINT (-87.696497 41.917504)
"GK Tops and Bottoms, Inc.",Anis Kassim,3940,,W,Madison,St,28,West Garfield Park,Madison/Austin,4/2/2014,4/2/2015,Commercial,"removal of old signage; masonry repairs on façade behind signage and on parapet walls, tuckpointing as needed; new flashings at parapert walls; replacement of rooftop HVAC unit and new ductwork in retail area; installation of new channel letter signage and panel; removal and replacement of drywall in retail area; restoration and repairs to hardwood floors; electrical work and installation of new light fixtures; painting and finishing",93750,125000,2,3,POINT (-87.724602 41.880749)
John Materna,John Materna,2200,,N,Milwaukee,Ave,1,Logan Square,Fullerton/Milwaukee,12/15/2010,12/1/2011,Commercial,"restaurant buildout,",150000,201288.5,,,POINT (-87.694066 41.920924)
Arthur Harris & Co,Lawrence Roche,210,,N,Aberdeen,St,27,Near West Side,Kinzie Industrial Corridor,10/11/2016,9/26/2017,Industrial,"a roofing replacement along the lower center of the south roof including replacement of the wood decking as needed, installation of new framing, insulation, modified roof membrane, flashings, and aluminum coating to finish, roofing repairs on three (3) other sections of the roof including replacement of any damaged decking, repairs to roof membranes, flashings and aluminum coatings, masonry repairs along the parapet wall including attaching wire lath over exposed brick wall and applying solid coating of cement, and the installation of a new furnace with connections to the existing ductwork, electrical and gas lines",35820.5,71641,1,26,POINT (-87.654456 41.88569600000001)
"Income Tax Patriot/Maxim Properties, LLC",Sameh Abuaqel,3940,3944,W,Chicago,Ave,37,Humboldt Park,Northwest Industrial Corridor,8/1/2012,5/3/2013,Commercial,acquisition of an adjacent lot (3 parcels) for which the plan of use will be to grade and develop a parking lot for patrons of all three businesses to use.  Address range is 3940-44 W. Chicago Ave.,100000,150000,3,6,POINT (-87.725148 41.895409)
E&J Foreign Cars Ltd.,Luther Thomas,4241,4245,N,Western,Ave,47,North Center,Western Avenue (South),5/14/2014,4/10/2015,Commercial,"new garage and office entrance doors; new windows; remove and replace office lighting, outside lighting, and garage lighting with energy efficient items; remove old fans in garage and replace with new fan; remove and replace roofing system; new HVAC rooftop unit, associated duct work and electrical, engineering services; new fencing; parking lot improvements (demolish old concrete; regrade and install new stone base; paving and steamrolling), new shed style awnings and associated permit expenses; new fencing; parking lot improvements (demolish old concrete; regrade and install new stone base; paving and steamrolling).  Address range is 4241-5 N. Western Ave.",99975,133300,0,10,POINT (-87.688531 41.958919)
"Precious Little Ones Learning Center, Inc.",Nicole Jones-Morris,26,,E,63rd,St,20,Washington Park,Washington Park,12/3/2019,4/7/2020,General Commercial,"New cabinets, drop ceiling, booster fan, granite counter tops, cement, remove and replace plumbing",21123.75,28165,7,12,POINT (-87.624257 41.780018)
George F Dalianis,George F Dalianis,5941,5943,W,Irving Park,Rd,38,Portage Park,West Irving Park,5/14/2011,2/13/2012,Commercial,"roof, gutters, vestibule, tuckpointing; address range is 5941-5943 W Irving Park Rd.",8250,16500,15,5,POINT (-87.775954 41.953078)
"Tsironis, LLC dba IX-Chel I Dream in Color Frozen Delights",Guadalupe Tsironis,4968,,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,9/10/2020,5/5/2021,Mixed-Use: Retail and Residential,"electrical work including new electrical power to the front of building, installation of two (2) lighting outlets and exterior lighting fixtures controlled by a wall switch, and bring power to new automatic door opener; installation of new dutch glass aluminum door with automatic door operator; new front awning (no business-specific elements included in costs); and security camera system.",11702.91,14185.34,2,2,POINT (-87.763681 41.971099)
Nader Salti,Nader Salti,1350,,W,Randolph,St,27,Near West Side,Kinzie Industrial Corridor,,9/15/2005,Commercial,"HVAC, Plumbing, Electrical, Sprinkler, Masonary, Concrete, Elevator, Windows, Façade,",50000,100000,,,POINT (-87.660918 41.884306)
OnCall Interactive,Michael Farro,2247,,W,Lawrence,Ave,47,Lincoln Square,Western Avenue (North),,2/14/2006,Commercial,Interior Renovations,26248.33,100000,,,POINT (-87.685876 41.96863)
Redmoon Theater,Frank Maugeri,2120,,S,Jefferson,St,25,Lower West Side,Pilsen Industrial Corridor,5/4/2013,3/21/2014,Commercial,"electrical service upgrades with additions of 400 amp and 200 amp service panels for lighting and sound capability, excavation work for plumbing and sewer lines, installation of rough plumbing, sewer main and floor drains for new restrooms, and permit fees",100000,321454.58,10,15,POINT (-87.641738 41.854386)
Seyed M Dehnavifar,Seyed M Dehnavifar,2200,,W,Lawrence,Ave,47,Lincoln Square,Western Avenue (North),,3/22/2007,Landlord,"HVAC, kitchen hood, concrete, oak floor, electric, signage, plumbing",50000,150000,,,POINT (-87.68405100000001 41.968722)
ABC Business Forms,Steve Strauss,5654,,N,Elston,Ave,45,Jefferson Park,Elston/Armstrong,3/9/2010,6/24/2011,Industrial,"HVAC rooftop unit, new windows, new gutters, and masonry repair, new exterior door and steel frame, replacement of an existing concrete walkway, and the installation of an overhead door, new rear windows",15367,30734,,,POINT (-87.766379 41.984008)
Dina Novillo,Dina Novillo,4209,,W,North,Ave,26,Humboldt Park,Pulaski Corridor,8/20/2011,10/29/2012,Commercial,"Roof Replacing, Tuck Pointing, Central Heat/Air, Plumbing &amp; Electrical, Interior Painting,",45937.5,61250,24,,POINT (-87.731603 41.909793)
"Northview Cleaners, Inc.",Yonhi Sarah Kim,2644,,W,Touhy,Ave,50,West Ridge,Touhy/Western,10/9/2012,9/27/2013,Commercial,"removal and replacement of exterior canopy over drive way, HVAC work, installation of iron fencing, concrete and paving work, masonry work and installation of exterior door at rear, installation of sliding entry door and façade work, signage, and interior renovations including plumbing, electrical, concrete work, and soft costs including architectural fees",100000,151992,0,2,POINT (-87.69656600000002 42.012174)
"Chicago Research Center, Inc.",Eric Malm,3401,,N,Central,Ave,36,Portage Park,Belmont/Central,1/25/2016,1/24/2017,Commercial,"general demolition in connection with the project (west elevation, rear entryway; interior demolition); install new metal and wood façade curtain wall and permanent canopy above front and rear entries; new doors and windows at facade and rear; install new aluminum frames and windows in south elevation and associated masonry; replace existing acoustical ceiling tiles in interior; install new vinyl and carpet flooring in exam rooms and offices; carpentry to install frames and hardware for six (6) new interior doors; painting in connection with interior work; furnish and install new bathroom partitions; furnish and install new ceramic tile for bathroom walls and floors; plumbing for four (4) new sinks and faucets in exam rooms; install interior pass through window; install new electrical box in conference room; and renovations to existing HVAC duct work to accommodate new layout",100000,283589.26,,,POINT (-87.766643 41.942255)
Northcenter Eye Care,Barry Siegel,1926,,W,Irving Park,Rd,47,North Center,Western Avenue (South),,10/26/2009,Commercial,"complete rehab, fireproofing paint, HVAC, electrical, security system",84397.5,153450,,,POINT (-87.677154 41.954243)
Brite Site,Brite Site,4616,,W,Fullerton,Ave,31,Belmont Cragin,Northwest Industrial Corridor,,11/22/2005,Industrial,Roof / HVAC / Windows / Signage / Tuckpoint,50000,100000,,,POINT (-87.742511 41.924341)
Little Kiddies Inc.,Doris Eneamokwu,1501,1503,W,Devon,Ave,48,Edgewater,Devon/Sheridan,3/14/2015,5/27/2016,Commercial,"demolition of walls, bathroom, ceiling, and floors; furnish and install nine (9) new storefront windows and a new front door for the first floor commercial space; new metal side door; new subflooring and framing for new partition walls; plumbing improvements (labor and material for the following: one (1) kitchen three compartment sink; one (1) grease trap; one (1) hand sink in kitchen; one (1) mop sink; one (1) drinking fountain; three (3) new toilets; two (2) bathroom sinks; and two (2) floor drains; furnish and install new HVAC system (including ducts, diffusers, and fans); install new 125 amp electrical panel system including associated wiring and work to conduit; install fire alarm system; install insulation around windows and on front exterior wall; drywall for partition and bathroom walls and ceilings; install durock in kitchen and bathrooms; furnish and install ceiling light fixtures, exit signs, and emergency lights; install drop ceiling; install ceramic tile flooring in kitchen and bathrooms and vinyl tile flooring in classrooms; three interior doors; provide and install laminate countertop for kitchen; painting of walls and ceilings; tuck pointing of rear and side walls; and demolition of disused signage pole affixed to building.  Address range is 1501-3 W. Devon Ave.",100000,133420,3,11,POINT (-87.667997 41.998118)
K & K Dressmaking,Grazyna Labedzki,6039,,W,Irving Park,Rd,38,Dunning,West Irving Park,12/22/2015,7/19/2017,Commercial,"a tear off of the existing roof down to decking, repair decking as needed, install new insulation, rubber membrane and protective roof coating., electrical upgrades including a new 100 amp panel, light fixtures, outlets, and conduit and wiring; repairs to subflooring and leveling as needed, and the installation of new flooring, insulation, new drywall, and painting
, masonry work along the façade including removal of damaged bricks and the replacement of new bricks as needed, HVAC improvements including the installation of new duct work with the necessary connections, new drop ceilings, and electrical work including a new LED lighting system with new connections and switches in the warehouse",100000,134000,5,7,POINT (-87.778318 41.953042)
B-Clean Laundromat Inc,Ronald Martinez,5419,,S,Halsted,St,20,New City,47th/Halsted,1/19/2017,2/5/2018,Commercial,"furnish and install new HVAC rooftop units, replace electrical panels; balance of expenses for furnishing and installing new HVAC rooftop units; remove and replace the storefront system (frames, glass, and door)",66468.75,88625,0,2,POINT (-87.645181 41.795489)
Richard Romanow,Richard Romanow,4644,,N,Lincoln,Ave,47,Lincoln Square,Western Avenue (North),7/30/2010,2/4/2011,Industrial,"Electrical, HVAC, walls,floors,tuck pointing, pave parking lot,alarm,bathroom",53090,112057,,,POINT (-87.686821 41.966027)
Illinois Engraving & Manufacturing Co.,Wayne Tumminello,4530,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,,3/12/2008,Industrial,Roof,16553.25,22071,,,POINT (-87.674567 41.964019)
"The Foxhole Chicago, LLC",Timothy Frank,2444,,W,Montrose,Ave,47,Lincoln Square,Western Avenue (North),6/22/2017,12/1/2017,Commercial,"demolish existing ground-floor restroom and construct a new restroom (framing, drywall, tile floor, rough plumbing, fixture installation costs); interior tuck pointing at east wall; demolish the existing metal paneling at storefront and frame and insulate to close exposed area; tuck point the facade; rough electrical to install three exterior accent lights; remove and replace existing storefront glass and trim; roofing and parapet repairs; install new drywall at ceiling; install new wood flooring over subfloor; concrete reinforcement of basement footers; remove and replace the wood posts in the basement; repair foundation wall crack; demolish existing kitchen and run new rough plumbing and install counters and millwork for a new kitchen; materials expenses in connection with the renovations: breakroom/kitchen sink, bathroom sink, wall cladding, toilet fixture, and exterior accent lights; permit expenses",56655.93,76019.13,0,4,POINT (-87.690495 41.961326)
"M Y Investment, Inc",Hafiz Yaqoob,2307,,W,Devon,Ave,50,West Ridge,Devon/Western,3/21/2012,3/5/2013,Commercial,,150000,203950,4,4,POINT (-87.687774 41.997758)
Hieu Minh Troung,Hieu Minh Troung,4947,,N,Broadway,St,48,Uptown,Lawrence/Broadway,2/19/2019,4/15/2020,General Commercial,"Remove all existing ceiling tiles, raise ceiling with new ceiling framing; remove and replace existing front masonry for three (3) commercial units, remove and replace front door lintels, remove and re-use existing signage; and remove and replace all existing ductwork, furnish and install two (2) rooftop HVAC units.",82193.46,161580,0,0,POINT (-87.659776 41.972766)
"R.C. Industries, Inc.",Robert Calabrese,1420,,N,Lamon,Ave,37,Austin,North/Cicero,10/17/2014,4/7/2015,Industrial,"provide a new industrial-grade boiler system including burner, cast iron heat exchanger, and control systems; and installation of industrial-grade boiler system including all plumbing, gas connections, electrical supply, and tie-in to existing flue penetrations",12974.28,25948.56,0,11,POINT (-87.748529 41.906525)
Slover Linett Strategies,Cheryl Linett,4147,,N,Ravenswood,Ave,47,Lake View,Ravenswood Industrial Corridor,3/25/2011,4/10/2012,Commercial,replacement of windows,20300.57,40601.14,0,15,POINT (-87.673852 41.956934)
Christine Belpedio's School of Dance,Christine Belpedio,5945,,W,Belmont,Ave,30,Belmont Cragin,Belmont/Central,11/29/2011,10/30/2012,Commercial,"flooring, mirrors, lighting, buildout, electrical, awning",150000,201638.45,2,4,POINT (-87.775434 41.938467)
"Ops 3, LLC",Lee Facklis,2226,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,12/5/2019,10/9/2020,General Commercial,"Masonry improvements including brick replacement below capstone on North, South, East and West elevations, install color sealant to entire building exterior, grind out windowsill joints and caulk, remove loose concrete coating at foundation wall.",38936,77872,0,35,POINT (-87.682594 41.88579)
Experimental Station,Constance Susan Spreen,6100,,S,Blackstone,Ave,20,Woodlawn,Woodlawn,10/31/2012,11/15/2013,Commercial,"installation of a solar panel array on the roof, masonry and tuckpointing work all around the exterior of the building",100000,142995,0,10,POINT (-87.590308 41.784161)
"All The Trimmings, Inc.",Juan Martinez,4500,,S,Ashland,Ave,15,New City,47th/Ashland,1/15/2016,11/23/2016,Commercial,"of tuck pointing along the south, north, and west elevations, and of the interior masonry wall; installation of new subflooring and vinyl tile flooring; installation of new metal framing, insulation and 2X2 tiles for drop ceiling; restroom improvements including new ADA components, new plumbing and electrical systems and fixtures; installation of three (3) HVAC units with new duct work and two (2) new water heaters; replacement of the rear door with a commercial metal door; installation of new thermal windows and electric sliding doors; replacement of a new roof with new insulation, flashings, and gutters and down spouts; painting and finishing work. Located at 4500, 4504 and 4508 S Ashland.",100000,144100,2,4,POINT (-87.665113 41.811954)
